,,,,,,,,,,,
,ID,,タイトル,Z,X,S,TOOL,RPM,SPD,ANG,Z
,106,Φ22.5→22.25,中ハンドルのゼロセット,10,22.5,,外径仕上げ,1800,1,,10
,107,Φ22.5→22.25,中ハンドルで切込量0.25mmセット,10,22.25,,外径仕上げ,1800,1,,10
,108,Φ22.5→22.25,自動送りの確認,5,22.25,,外径仕上げ,1800,1,,5
,109,Φ22.5→22.25,自動送りで溝あたりで止める,-21,22.25,,外径仕上げ,1800,1,,-21
,110,Φ22.5→22.25,大ハンドルで基準点より右に戻す,10,22.25,,外径仕上げ,1800,1,,10
,111,測定,【マイクロ測定】Φ21.75目標,10,22.25,,外径仕上げ,1800,1,,10
,112,仕上2回目,現在Φ22.5-目標値Φ21.75=切込量0.5の計算をする,10,22.25,,外径仕上げ,1800,1,,10
,113,Φ22.25→21.75,中ハンドルで切込量0.5mm追加,10,21.75,,外径仕上げ,1800,1,,10
,114,Φ22.25→21.75,自動送りで溝あたりで止める,-21,21.75,,外径仕上げ,1800,1,,-21
,115,Φ22.25→21.75,中ハンドルで外に少し戻す,-21,30,,外径仕上げ,1800,1,,-21
,116,端面Φ30.5仕上,端面Φ30.5に刃先を近づける,-24,30,,外径仕上げ,1800,1,,-24
,117,端面Φ30.5仕上,刃先を軽く当てる,-24.9,30,,外径仕上げ,1800,1,,-24.9
,118,端面Φ30.5仕上,中ハンドルで外に戻す,-24.9,60,,外径仕上げ,1800,1,,-24.9
,119,端面Φ30.5仕上,小ハンドルのゼロセット,-24.9,60,,外径仕上げ,1800,1,,-24.9
,120,端面Φ30.5仕上,小ハンドルで切込量0.1mmセット,-25,60,,外径仕上げ,1800,1,,-25
,121,端面Φ30.5仕上,中ハンドルで目視でΦ18まで削る,-25,18,,外径仕上げ,1800,1,,-25
,122,端面Φ30.5仕上,中ハンドルで外に少し戻す,-25,31,,外径仕上げ,1800,1,,-25
,123,仕上1回目,刃先を長手面Φ30.5に近づける,-26,31,,外径仕上げ,1800,1,,-26
,124,Φ30.5→30.4,刃先を長手面に軽く当てる,-26,30.5,,外径仕上げ,1800,1,,-26
,125,Φ30.5→30.4,大ハンドルで端面30.5より右に戻す,-24,30.5,,外径仕上げ,1800,1,,-24
,126,Φ30.5→30.4,中ハンドルのゼロセット,-24,30.5,,外径仕上げ,1800,1,,-24
,127,Φ30.5→30.4,中ハンドルで切込量0.1mmセット,-24,30.4,,外径仕上げ,1800,1,,-24
,128,Φ30.5→30.4,自動送りで端面Φ40.5あたりで止める,-44,30.4,,外径仕上げ,1800,1,,-44
,129,Φ30.5→30.4,大ハンドルで49.9mmまで追い込む,-44.9,30.4,,外径仕上げ,1800,1,,-44.9
,130,Φ30.5→30.4,大ハンドルで端面30.4より右に戻す,-24,30.4,,外径仕上げ,1800,1,,-24
,131,測定,【マイクロ測定】Φ30.00目標,-24,30.4,,外径仕上げ,1800,1,,-24
,132,仕上2回目,現在Φ30.4-目標値Φ30.00=切込量0.4の計算をする,-24,30.4,,外径仕上げ,1800,1,,-24
,133,Φ30.4→30.0,中ハンドルで切込量0.4mm追加,-24,30,,外径仕上げ,1800,1,,-24
,134,Φ30.4→30.0,自動送りで端面Φ40.5あたりで止める,-44,30,,外径仕上げ,1800,1,,-44
,135,Φ30.4→30.0,大ハンドルで45.0mmまで追い込む,-45,30,,外径仕上げ,1800,1,,-45
,136,Φ30.4→30.0,中ハンドルで外に少し戻す、端面段差さらう,-45,41,,外径仕上げ,1800,1,,-45
,137,仕上1回目,刃先を長手面Φ40.5に近づける,-46,41,,外径仕上げ,1800,1,,-46
,138,Φ40.5→40.4,刃先を長手面に軽く当てる,-46,40.5,,外径仕上げ,1800,1,,-46
,139,Φ40.5→40.4,大ハンドルで端面Φ40.5より右に戻す,-44,40.5,,外径仕上げ,1800,1,,-44
